idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
c0a9082454272b48	city	Perafort	Perafort, España	ES	España	14066	1.2560126	41.1905227
36a3e5926f2d5e16	city	Palau-solità i Plegamans	Palau-solità i Plegamans, España	ES	España	14067	2.1804146	41.5839461
4069121a07b95c5e	neighborhood	Misiones de Jurica	Misiones de Jurica, Querétaro	MX	México	14068	-100.454193	20.6766532
6501885bf80465d6	city	Banyuls-sur-Mer	Banyuls-sur-Mer, Francia	FR	France	14069	3.128874	42.48343
007dd2f709075537	city	El Nula	El Nula, Venezuela	VE	Venezuela	14070	-71.9193859	7.273233200000001
2c0561dc920c060a	city	Pétrola	Pétrola, España	ES	España	14071	-1.5559775	38.8272179
54f42de85ad08aba	neighborhood	Taxqueña	Taxqueña, Coyoacán	MX	México	14072	-99.1252086	19.3391738
3c927f91e72d32cb	neighborhood	Santa Engracia	Santa Engracia, San Pedro Garza García	MX	México	14073	-100.3511929	25.6563235
4ed3abb17cc4d510	city	Gomesende	Gomesende, España	ES	España	14074	-8.1034805	42.1632238
25473e998dfa684f	neighborhood	Nueva Victoria	Nueva Victoria, Hermosillo	MX	México	14075	-111.0076657	29.1360374
537a04bb198dc595	neighborhood	Bosques del Acueducto	Bosques del Acueducto, Querétaro	MX	México	14076	-100.3757573	20.5966741
012bf3dd66215436	city	Maripí	Maripí, Colombia	CO	Colombia	14077	-74.0046909	5.549623
7fdad50ecac763e1	neighborhood	Jardines de Querétaro	Jardines de Querétaro, Querétaro	MX	México	14078	-100.3785651	20.5950329
6af92121b4cf9e58	city	Alarilla	Alarilla, España	ES	España	14079	-3.1045944	40.8494875
79b565f49f85b717	city	Idanha-a-Nova	Idanha-a-Nova, Portugal	PT	Portugal	14080	-7.2005805999999994	39.9013925
1c920b0fffd592bf	city	Oquitoa	Oquitoa, Sonora	MX	México	14081	-111.7351509	30.7431637
4acb6edab17b1194	neighborhood	Mirador	Mirador, Tijuana	MX	México	14082	-117.0889696	32.5307851
dc5edb7deb4b467b	city	Petlalcingo	Petlalcingo, Puebla	MX	México	14083	-97.917924	18.0861015
e1de89156e1200df	city	Brieva de Cameros	Brieva de Cameros, España	ES	España	14084	-2.7932316	42.1644219
51252131fb11378f	city	Bárcabo	Bárcabo, España	ES	España	14085	0.0693975	42.24237309999999
f5d864c8f6513bcb	city	Yogana	Yogana, Oaxaca	MX	México	14086	-96.78573560000001	16.4585894
797bdc1c209e619a	city	Muruzábal	Muruzábal, España	ES	España	14087	-1.7703131	42.6884788
00ba15713658daf4	city	San Bartolome	San Bartolome, Peru	PE	Peru	14088	-76.5300365	-11.9121344
ac7d19e72b8ebf5d	city	Escobedo	Escobedo, Coahuila de Zaragoza	MX	México	14089	-101.4129446	27.2353087
07d9e3dd98481002	poi	Hospital Metropolitano	Hospital Metropolitano	US	United States	14090	-100.274372	25.7140788
31b0ef36641d4298	city	Martín Miguel	Martín Miguel, España	ES	España	14091	-4.2730802	40.9516149
0192713a4f6e97ed	city	Malecón	Malecón, Venezuela	VE	Venezuela	14092	-69.3160626	10.0750117
07d9d537fd881003	poi	Torre Municipal De San Juan	Torre Municipal De San Juan	US	United States	14093	-66.0621523	18.4258435
51b805b1e88c8bb0	neighborhood	Bugambilias	Bugambilias, Mazatlán	MX	México	14094	-106.3857499	23.2589899
73b05097cc330447	city	Cieza	Cieza, España	ES	España	14095	-1.4217274	38.2420912
089099a77f141001	poi	Hospital Oncológico Pediátrico	Hospital Oncológico Pediátrico	US	United States	14096	-116.9259157	32.478602
73ce67fc2c19f0f0	city	Villalpardo	Villalpardo, España	ES	España	14097	-1.623867	39.4712656
0905a52352c2dbbd	neighborhood	Futuro Nogalar	Futuro Nogalar, San Nicolás de los Garza	MX	México	14098	-100.2803447	25.7147522
6f435300ecb12223	neighborhood	Lomas de San Lorenzo	Lomas de San Lorenzo, Iztapalapa	MX	México	14099	-99.06125540000001	19.3176966
45d5133e3549d379	neighborhood	Súper Manzana 223	Súper Manzana 223, Benito Juárez	MX	México	14100	-86.8703338	21.1818974
019a075250a82139	city	Los Rastrojitos	Los Rastrojitos, Venezuela	VE	Venezuela	14101	-67.3257668	10.5016294
cbbde15c0c87f92c	city	Ubide	Ubide, España	ES	España	14102	-2.6879671	43.0240916
300bcc6e23a88361	city	Seattle	Seattle, WA	US	United States	14103	-122.3320708	47.6062095
99bdd9014f766b35	city	Torrecilla del Monte	Torrecilla del Monte, España	ES	España	14104	-3.6933872	42.0949209
